作答ID,用户ID,开始时间,结束时间,作答时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,音乐A,您对音频A的感受评价是？,音乐B,您对音频B的感受评价是？,音乐C,您对音频C的感受评价是？,音乐D,您对音频D的感受评价是？,音乐E,您对音频E的感受评价是？,音乐F,您对音频F的感受评价是？,音乐G,您对音频G的感受评价是？,音乐H,您对音频H的感受评价是？,音乐Z,您对音频Z的感受评价是？,音乐I,您对音频I的感受评价是？,音乐J,您对音频J的感受评价是？,音乐K,您对音频K的感受评价是？,音乐L,您对音频L的感受评价是？,音乐M,您对音频M的感受评价是？,音乐N,您对音频N的感受评价是？,音乐O,您对音频O的感受评价是？,音乐P,您对音频P的感受评价是？,在刚才的音频片段中，你是否听到了人声演唱或说唱？如果有，请判断主要是男声还是女声。,音乐Q,您对音频Q的感受评价是？,音乐R,您对音频R的感受评价是？,音乐S,您对音频S的感受评价是？,音乐T,您对音频T的感受评价是？,音乐U,您对音频U的感受评价是？,音乐V,您对音频V的感受评价是？,音乐v,您对音频v的感受评价是？,音乐W,您对音频W的感受评价是？,音乐X,您对音频X的感受评价是？,音乐Y,您对音频Y的感受评价是？,下面是一些描述人们性格特点的句子，请根据每个句子与您的性格相符程度选择相应的数字。??例如：“在集体活动中，我是个活跃分子”非常恰当的描述您，那么请您在“6=完全同意”上画圈，依此类推。每个人的性格各不相同，所以答案没有对错之分，请根据您的实际情况作答。1=完全不符合，2=大部分不符合，3=有点不符合，4=有点符合，5=大部分符合，6=完全符合,我常感到害怕,一旦确定了目标，我会坚持努力地实现它,我觉得大部分人基本上是心怀善意的,我头脑中经常充满生动的画面,我对人多的聚会感到乏味,此题请选择1,有时我觉得自己一无是处,我常常是仔细考虑之后才做出决定,我不太关心别人是否受到不公正的待遇,我是个勇于冒险，突破常规的人,在热闹的聚会上，我常常表现主动并尽情玩耍,别人一句漫不经心的话，我常会联系在自己身上,别人认为我是个慎重的人,我时常觉得别人的痛苦与我无关,我喜欢冒险,我尽量避免参加人多的聚会和嘈杂的环境,在面对压力时，我有种快要崩溃的感觉,我喜欢一开头就把事情计划好,我是那种只照顾好自己，不替别人担忧的人,我对许多事情有着很强的好奇心,有我在的场合一般不会冷场,我常担忧一些无关紧要的事情,我工作或学习很勤奋,虽然社会上有些骗子，但我觉得大部分人还是可信的,我身上具有别人没有的冒险精神,在一个团体中，我希望处于领导地位,我常常感到内心不踏实,我是个倾尽全力做事的人,当别人向我诉说不幸时，我常感到难过,我渴望学习一些新东西，即使它们与我的日常生活无关,别人多认为我是一个热情和友好的人,我常担心有什么不好的事情要发生,在工作上，我常只求能应付过去便可,尽管人类社会存在着一些阴暗的东西（如战争、罪恶、欺诈），我仍然相信人性总的来说是善良的,我的想象力相当丰富,我喜欢参加社交与娱乐聚会,我很少感到忧郁或沮丧,做事讲究逻辑和条理是我的一个特点,我常为那些遭遇不幸的人感到难过,我很愿意也很容易接受那些新事物、新观点、新想法,我希望成为领导者而不是被领导者,请问您在音乐知识或演奏技能方面的熟悉程度如何？,您对音乐的接触频率是？,您的性别是？,您的年龄是？,您的主要职业是？,您从小到18岁主要在哪个城市/地区生活？,您目前或过去半年主要居住地是哪里？,,
oB9EJq69AKO,VMJ1n9Oe,2025/4/4 20:14,2025/4/4 20:32,1092,1,rQrY32,音乐片段感受调研问卷_见数数据库4,39.144.101.89,128.931135,42.723344,吉林省,延边朝鲜族自治州,MOBILE,Android,Chrome,320px*665px,"C1,test1,I2,C4,S1,test2,S5,S2,I4,I5,U4,I1,S4,M4,M2,M3,U1,S3,C2,U5,C5,U3,I3,M5,C3,M1,U2",1,7,1,6,1,7,1,5,1,7,1,6,1,6,1,6,1,5,1,6,1,6,1,7,1,5,1,2,1,6,1,6,2,7,没有出现人声,1,3,1,6,1,6,1,2,1,6,1,6,1,5,1,5,1,6,1,7,1,2,5,4,6,2,1,1,4,1,5,5,1,5,2,5,1,3,6,2,6,5,2,5,6,6,2,1,5,5,6,6,2,2,6,6,6,5,5,5,6,3,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),白城市,长春市,1,1
oB9EJqzG3O0,veEqjlKe,2025/4/4 20:08,2025/4/4 20:32,1408,1,rQrY32,音乐片段感受调研问卷_见数数据库4,113.122.135.97,119.465502,35.423423,山东省,东营市,MOBILE,Android,Chrome,360px*800px,"M2,S2,C5,C1,U3,U1,C3,I4,S5,M1,I3,S3,test1,I2,I1,S1,S4,I5,M5,U4,C2,U2,M4,U5,M3,test2,C4",1,6,1,7,1,6,1,7,1,6,1,7,1,6,1,7,1,6,1,6,1,6,1,6,1,6,1,7,1,7,1,7,1,7,没有出现人声,1,6,1,7,1,7,1,6,1,6,1,6,1,5,1,7,1,6,1,7,1,1,6,5,5,1,1,2,4,2,6,6,2,5,2,4,4,2,5,2,5,5,2,5,5,6,5,2,6,5,5,5,2,2,5,5,6,6,6,6,5,6,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),北京市,北京市,1,1
mnmEB5dy9od,me3lKAbM,2025/4/4 19:58,2025/4/4 20:32,2038,1,rQrY32,音乐片段感受调研问卷_见数数据库4,223.104.33.76,116.139215,30.224243,安徽省,淮南市,MOBILE,Android,Chrome,360px*800px,"I3,C1,M2,I1,U2,U3,C2,I2,C3,M5,U4,C4,S3,S4,M4,test1,U1,I4,S1,M3,M1,U5,S2,C5,S5,test2,I5",1,3,1,4,1,4,1,2,2,4,1,6,1,3,1,5,1,5,1,3,1,3,1,4,1,3,1,2,1,2,1,2,1,6,没有出现人声,1,6,1,6,1,5,1,7,1,5,1,6,1,6,1,5,1,7,1,6,1,2,5,5,5,2,1,2,5,3,5,5,5,5,2,5,2,2,5,2,6,6,2,6,5,5,5,2,5,5,5,5,2,2,5,5,5,5,5,5,6,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里1~2天会听音乐,女,25-34岁,个体经营/私营企业/创业公司老板,安庆,合肥,0,0
Q4x6aOAPQrQ,oe4annDM,2025/4/4 19:58,2025/4/4 20:32,2034,1,rQrY32,音乐片段感受调研问卷_见数数据库4,223.104.33.84,116.103744,30.236262,安徽省,淮南市,MOBILE,Android,Chrome,360px*800px,"C2,test2,C3,M1,I2,M2,M4,C5,U2,test1,S4,U3,S5,C4,C1,I5,I3,M5,U1,U4,I1,S2,U5,M3,S3,S1,I4",2,6,1,4,1,3,2,5,1,2,1,4,1,4,1,6,1,6,1,4,1,3,1,4,1,3,1,2,1,3,1,2,1,7,没有出现人声,2,3,1,6,1,5,1,6,1,4,1,6,1,5,1,5,1,6,1,6,1,2,6,5,5,2,1,2,5,2,5,5,2,5,2,5,2,2,5,2,5,5,2,6,5,5,5,2,5,5,5,5,2,2,5,6,6,5,5,5,5,6,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里1~2天会听音乐,女,25-34岁,个体经营/私营企业/创业公司老板,安庆,合肥,0,1
oB9EJxNDxA4,kM1jwOk7,2025/4/4 19:58,2025/4/4 20:32,2024,1,rQrY32,音乐片段感受调研问卷_见数数据库4,223.104.33.122,116.134589,30.171938,安徽省,淮南市,MOBILE,iOS,Apple WebKit,390px*844px,"M1,C5,I3,I4,I2,S3,S4,U4,S2,U3,S1,M4,M5,M3,C2,C3,test2,C1,U5,U2,test1,M2,U1,S5,I5,I1,C4",2,5,1,2,1,3,1,4,1,4,1,5,1,4,1,5,1,5,1,3,1,5,1,3,1,3,2,3,1,2,1,2,1,5,没有出现人声,2,6,1,7,1,7,1,7,1,6,1,6,1,7,1,7,1,7,1,6,1,2,5,5,5,2,1,2,5,2,5,5,2,5,2,5,2,2,5,2,6,5,2,6,5,5,6,2,6,5,5,5,2,2,5,5,5,5,5,5,5,6,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里1~2天会听音乐,男,25-34岁,个体经营/私营企业/创业公司老板,安庆,合肥,0,-1
vNzEJxyNnmv,27aWD9Ne,2025/4/4 20:00,2025/4/4 20:30,1819,1,rQrY32,音乐片段感受调研问卷_见数数据库4,117.61.177.49,106.411213,38.972021,天津市,市辖区,MOBILE,Android,Chrome,376px*831px,"S4,test2,C5,S1,C4,U3,C1,I5,test1,M2,I2,I3,M4,S2,U5,C2,U1,C3,I1,S5,U2,M1,U4,M3,M5,S3,I4",1,4,1,4,1,5,1,3,1,3,1,3,1,3,1,4,1,3,1,4,1,5,1,5,1,2,1,3,25,6,1,3,1,4,没有出现人声,1,2,1,2,1,3,1,3,1,3,1,4,1,5,1,4,1,5,1,2,1,4,3,4,3,4,1,2,3,3,4,3,4,3,3,4,4,4,3,2,4,3,4,3,4,3,2,3,3,3,4,4,4,4,4,4,4,4,3,4,4,3,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我每周里有3~5天会听音乐，每次时长不限,女,18-25岁,初高中学生/大学生/研究生/博士,河南周口,宁夏石嘴山,1,-1
gnBxpVNzY5g,J7q5v4p7,2025/4/4 20:07,2025/4/4 20:29,1305,1,rQrY32,音乐片段感受调研问卷_见数数据库4,14.115.199.67,113.294529,22.394658,广东省,中山市,MOBILE,Android,Chrome,360px*748px,"U1,I2,U5,M5,C2,U2,M3,C4,M1,I1,I4,test2,S5,I3,C3,M4,S3,S2,test1,C5,U4,S4,M2,S1,C1,U3,I5",1,6,1,2,1,6,1,7,1,6,1,6,1,4,1,5,1,5,1,2,1,6,1,4,1,4,1,6,1,5,1,6,2,1,没有出现人声,1,1,1,1,1,1,1,1,1,5,1,3,1,2,1,1,1,3,1,3,1,1,5,4,4,2,1,1,5,2,2,2,2,4,3,1,3,1,6,2,2,2,1,5,5,2,2,2,5,5,4,5,2,3,5,3,4,5,5,1,5,3,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,男,18-25岁,普通职员(公司/企业/事业单位/党政机关),珠海,珠海,0,1
Q4x6a4ZN3Av,qM6mxbVe,2025/4/4 20:13,2025/4/4 20:29,922,1,rQrY32,音乐片段感受调研问卷_见数数据库4,42.97.240.111,126.0399254,42.682257,吉林省,长春市,MOBILE,iOS,Apple WebKit,390px*844px,"C1,S3,U1,C2,test2,S5,U5,C4,I3,S1,U3,I2,C5,C3,test1,I4,S2,M2,U2,M5,I5,U4,M3,S4,M1,I1,M4",2,6,2,5,2,5,2,6,1,5,2,6,2,5,2,5,1,6,2,6,2,6,2,6,2,6,1,5,2,7,1,7,1,5,没有出现人声,2,3,1,3,2,7,2,2,2,6,2,6,2,6,2,7,2,6,2,3,1,1,6,4,6,2,1,1,5,2,5,5,1,6,1,6,1,2,6,2,6,5,1,5,6,5,3,1,4,5,5,6,2,2,6,6,5,6,5,5,5,3,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,普通职员(公司/企业/事业单位/党政机关),兰州市,长春市,-1,0
oB9EJB23YXN,DMx99a7y,2025/4/4 20:13,2025/4/4 20:29,912,1,rQrY32,音乐片段感受调研问卷_见数数据库4,36.104.183.241,125.2795155,43.7463644,吉林省,长春市,MOBILE,iOS,Apple WebKit,414px*736px,"C4,I2,S3,I5,I3,C5,S4,C2,M1,M2,S5,I1,S1,C1,U4,M3,U3,test1,I4,U5,C3,M4,U1,S2,test2,U2,M5",3,6,2,6,3,5,4,6,2,7,3,7,2,5,4,7,4,7,4,6,4,6,4,6,3,6,3,5,2,7,3,7,1,6,没有出现人声,2,3,3,3,3,3,4,6,3,5,2,6,2,7,3,6,4,6,3,6,1,1,5,6,6,1,1,2,6,2,5,5,1,5,1,6,2,2,6,1,5,5,2,5,6,5,2,2,5,6,5,5,1,1,6,6,5,5,5,4,5,2,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,个体经营/私营企业/创业公司老板,苏州市,辽源市,0,-1
oB9EJ92koxN,8MZm91e3,2025/4/4 20:12,2025/4/4 20:27,884,1,rQrY32,音乐片段感受调研问卷_见数数据库4,118.76.187.227,112.817516,35.48387,山西省,晋城市,MOBILE,Android,Chrome,361px*801px,"S1,M1,I3,U4,S4,U1,C2,U5,I4,test2,C3,I1,S2,C4,M3,S3,S5,M4,U2,C5,I5,test1,I2,C1,M2,U3,M5",12,5,1,6,1,6,1,7,1,6,1,7,1,5,1,6,1,7,10,7,1,4,1,6,1,5,1,7,1,7,1,5,1,5,没有出现人声,1,5,11,2,1,2,1,6,1,5,1,2,1,3,1,4,1,4,1,6,1,2,5,6,5,1,1,2,6,3,5,6,1,4,2,4,2,1,6,2,6,5,1,5,6,5,5,1,5,5,5,6,2,1,5,5,5,4,6,5,6,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,女,25-34岁,工厂基层员工/制造业/建筑业工人,山西晋城,太原,-1,-1
vNzEpkNlk5N,4enPvG27,2025/4/4 19:59,2025/4/4 20:25,1591,1,rQrY32,音乐片段感受调研问卷_见数数据库4,223.104.163.98,120.189127,28.024488,浙江省,丽水市,MOBILE,Android,Chrome,360px*780px,"S3,I4,U2,I3,U3,M1,I2,S5,M4,C1,M3,test2,M2,U5,C4,U4,C5,S4,M5,I1,S2,test1,C2,S1,U1,C3,I5",1,2,1,3,1,2,1,2,1,3,1,3,1,2,1,1,1,1,1,1,1,1,16,2,1,2,1,2,1,2,1,2,1,7,没有出现人声,1,7,1,7,106,6,1,7,1,1,1,6,1,6,1,6,1,6,1,6,1,2,5,6,5,2,1,1,5,1,6,5,2,4,1,4,2,1,3,2,4,6,2,4,4,6,5,2,6,5,6,6,2,1,5,5,5,6,6,5,6,6,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天不到 1 小时,男,25-34岁,普通职员(公司/企业/事业单位/党政机关),湖南省株洲市,浙江省丽水市,0,0
XObQ0a2w4g5,5LmwXXnM,2025/4/4 20:06,2025/4/4 20:25,1134,1,rQrY32,音乐片段感受调研问卷_见数数据库4,112.224.20.207,117.0556003,36.7027786,山东省,济南市,MOBILE,iOS,Apple WebKit,414px*736px,"I2,C4,U3,C1,C2,C5,M2,S3,U5,U4,S2,M3,I1,M1,S1,I5,I4,U1,S4,M4,test1,I3,U2,M5,C3,S5,test2",1,6,1,6,1,4,1,7,1,5,1,7,1,6,1,6,1,5,1,4,1,5,1,4,1,6,1,4,1,5,1,4,1,6,没有出现人声,1,6,1,7,1,5,1,7,1,6,1,6,1,6,1,6,1,4,1,5,1,1,5,4,5,3,1,2,6,2,6,4,5,5,2,4,4,1,5,4,5,6,2,4,5,2,5,2,6,5,5,4,2,2,5,6,4,5,5,5,5,6,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,女,35-44岁,领导干部(公司/企业/事业单位/党政机关),盐城市,济南市,1,0
bNGjz4bXN6l,aMgWGJkM,2025/4/4 20:02,2025/4/4 20:25,1399,1,rQrY32,音乐片段感受调研问卷_见数数据库4,39.91.167.160,117.121101,36.642647,山东省,济南市,MOBILE,Android,Chrome,412px*915px,"C1,S1,S5,I3,C3,I4,S2,U3,U2,M1,U4,M5,C4,I1,M4,U1,C2,C5,I5,test2,I2,M3,S3,S4,M2,test1,U5",1,6,1,7,1,6,1,6,1,7,1,6,1,7,1,6,1,7,1,7,1,6,1,6,1,6,1,6,1,6,1,6,1,6,没有出现人声,1,7,1,7,1,7,1,6,1,6,1,6,1,6,1,7,1,7,1,7,1,2,6,6,5,2,1,2,5,2,5,5,2,6,2,4,4,1,5,2,6,6,2,5,5,5,5,1,6,5,6,5,2,2,5,6,6,5,6,5,5,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,工厂技术人员/工厂主管,济南市,济南市,-1,0
mnmEky1KnWn,5M2aOKke,2025/4/4 20:05,2025/4/4 20:24,1172,1,rQrY32,音乐片段感受调研问卷_见数数据库4,112.37.141.51,115.92832,36.054494,山东省,聊城市,MOBILE,Android,Chrome,360px*800px,"S2,S3,I5,M1,U2,S5,U1,I1,M4,C1,C2,M5,C5,U3,I4,C3,I3,U5,M3,S1,I2,U4,M2,test2,C4,test1,S4",1,5,1,4,1,2,1,4,1,4,2,5,1,3,1,6,3,6,1,2,1,5,1,3,1,5,1,4,1,5,1,3,1,5,没有出现人声,2,4,2,5,1,2,1,6,1,4,1,6,1,5,1,6,1,5,1,4,1,2,4,5,5,2,1,2,4,2,3,6,4,4,1,2,2,3,3,1,4,5,2,3,5,3,5,3,4,5,5,5,2,2,5,4,5,3,4,5,5,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我每周里有3~5天会听音乐，每次时长不限,男,35-44岁,领导干部(公司/企业/事业单位/党政机关),济南市,济南市,0,1
gnBx6244RgJ,xMoo2jnM,2025/4/4 19:58,2025/4/4 20:24,1539,1,rQrY32,音乐片段感受调研问卷_见数数据库4,180.126.44.88,120.17602,33.331512,江苏省,盐城市,MOBILE,Android,Chrome,412px*915px,"S4,U2,U4,I1,test2,C5,M4,I5,I3,I4,C3,S5,S2,S1,C4,test1,M2,U5,I2,U3,M5,S3,M3,C2,M1,C1,U1",1,4,1,4,1,5,1,4,1,4,1,6,1,5,2,4,2,5,2,3,1,4,2,4,2,4,1,5,1,4,1,3,1,5,没有出现人声,1,5,1,4,1,3,1,5,1,4,1,2,1,2,1,4,1,2,1,2,1,3,5,5,3,3,1,2,5,3,2,3,4,5,3,2,4,3,5,2,3,3,3,5,5,2,4,4,5,4,4,4,4,2,4,3,3,3,5,5,4,4,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),南京,南京,-1,0
mnmEkE0gPqK,z7Ao696e,2025/4/4 19:59,2025/4/4 20:23,1473,1,rQrY32,音乐片段感受调研问卷_见数数据库4,112.12.86.178,121.268043,29.540022,浙江省,金华市,MOBILE,Android,Chrome,360px*800px,"U2,U4,I5,S2,M3,I4,M1,M2,I3,C2,I1,S5,U5,U3,S3,C3,test2,test1,S4,C4,M5,S1,C5,C1,U1,M4,I2",1,2,1,3,1,2,1,2,1,3,2,2,1,3,1,2,1,1,1,1,36,1,39,2,1,2,1,2,1,2,1,3,1,7,没有出现人声,1,7,1,7,1,7,1,7,1,6,2,6,1,6,1,5,57,6,1,6,1,1,6,6,6,2,1,2,5,1,5,5,2,4,2,4,2,2,5,1,6,5,1,5,4,6,6,1,6,5,5,6,2,1,6,4,5,2,6,5,4,5,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,男,25-34岁,普通职员(公司/企业/事业单位/党政机关),湖北省十堰市,浙江省宁波市,1,0
XObQ0994Zkr,27a38kbe,2025/4/4 19:58,2025/4/4 20:23,1510,1,rQrY32,音乐片段感受调研问卷_见数数据库4,39.144.109.150,116.3223676,37.4531491,山东省,济南市,MOBILE,iOS,Apple WebKit,428px*926px,"U2,test1,C4,M2,S5,M5,C1,I2,C2,I3,U1,S4,C3,U4,M3,test2,C5,I5,M4,U5,S3,S1,I1,U3,M1,I4,S2",1,5,1,4,1,4,1,7,1,4,1,5,1,4,1,4,1,4,1,4,1,5,1,5,1,5,1,6,1,5,1,2,1,2,没有出现人声,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,2,1,2,1,3,1,1,5,6,6,2,1,1,2,2,4,4,4,2,2,5,2,1,4,1,5,4,1,4,6,4,3,1,2,5,4,5,1,2,5,5,6,2,3,5,6,2,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,男,18-25岁,初高中学生/大学生/研究生/博士,山东青岛黄岛区泊里镇,山东德州德城区,0,-1
gnBx6Q5Bzxl,qM6ED4ve,2025/4/4 19:58,2025/4/4 20:23,1457,1,rQrY32,音乐片段感受调研问卷_见数数据库4,106.41.252.70,124.84025,45.104288,吉林省,松原市,MOBILE,Android,Chrome,360px*780px,"C4,S4,I1,C3,M3,M2,M5,U4,test2,U3,S3,U5,I3,I2,C2,C1,U2,M4,I4,S2,I5,test1,M1,S5,S1,U1,C5",1,6,1,6,1,6,1,5,1,6,1,5,1,6,1,5,1,5,1,6,1,5,1,7,1,6,1,6,2,5,1,6,1,2,没有出现人声,1,3,1,2,1,2,1,6,1,5,1,5,1,6,1,6,1,5,1,6,1,1,6,5,6,2,1,1,6,1,5,5,2,6,2,5,1,2,6,2,5,5,2,5,5,2,6,2,5,1,6,6,1,2,6,5,6,2,6,6,6,4,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里1~2天会听音乐,男,25-34岁,商业/服务业从业人员,吉林松原,吉林松原,0,-1
gnBx6QQb1JO,WLGq8pjM,2025/4/4 19:58,2025/4/4 20:23,1472,1,rQrY32,音乐片段感受调研问卷_见数数据库4,144.12.225.229,117.997293,37.40345,山东省,滨州市,MOBILE,Android,Chrome,320px*665px,"C2,S5,test1,U1,S1,M4,S3,U3,test2,I5,M3,U4,I3,I2,M1,C3,U2,I4,I1,C5,S4,M5,C4,C1,S2,M2,U5",1,2,1,4,1,3,1,6,1,6,1,5,1,4,1,6,2,6,1,4,1,5,1,2,1,2,1,3,1,2,1,3,1,7,没有出现人声,1,5,1,5,1,4,1,6,1,3,1,4,1,3,1,4,1,5,1,5,1,2,6,5,5,1,1,1,4,1,5,5,2,4,1,5,2,2,5,2,5,6,1,6,5,5,6,1,6,4,5,6,2,1,5,5,6,5,6,5,5,6,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,女,35-44岁,个体经营/私营企业/创业公司老板,山东,上海,0,1
lxzBw2dqv4W,JekXnWYM,2025/4/4 19:58,2025/4/4 20:23,1471,1,rQrY32,音乐片段感受调研问卷_见数数据库4,39.144.109.6,118.031873,37.375146,山东省,济南市,MOBILE,Android,Chrome,360px*796px,"C4,U5,S2,M3,I3,C2,M5,M1,M4,I1,U3,U2,I5,U4,S1,test1,I2,C3,C1,test2,S4,C5,S3,M2,U1,S5,I4",1,1,1,4,1,5,1,5,1,7,1,3,1,6,1,7,1,7,1,6,1,5,1,3,1,3,1,3,1,5,1,3,1,6,没有出现人声,1,5,1,6,1,4,1,7,1,5,1,5,1,5,1,4,1,6,1,5,1,1,5,5,5,2,1,1,5,2,4,6,1,5,3,3,2,2,6,1,5,5,1,5,5,4,5,1,5,4,5,6,1,1,5,4,6,5,5,5,5,5,纯粹爱好/不了解：不涉及任何乐理或演奏学习，听歌只为娱乐放松,我几乎每天都听音乐，但每天不到 1 小时,女,35-44岁,领导干部(公司/企业/事业单位/党政机关),湖南,上海,0,0
gnBx66VYVY5,J7qPbE5M,2025/4/4 19:59,2025/4/4 20:22,1368,1,rQrY32,音乐片段感受调研问卷_见数数据库4,223.104.19.53,113.654808,34.810811,河南省,郑州市,MOBILE,Android,Chrome,393px*873px,"test2,U4,C4,C1,I3,M5,S5,test1,S1,M2,I4,C5,U5,U3,M4,I2,M1,C3,M3,U1,I1,S3,S4,U2,S2,I5,C2",1,5,1,6,1,4,1,5,1,4,1,5,1,7,1,6,1,6,1,4,1,5,1,3,1,6,1,7,1,6,1,5,2,4,没有出现人声,1,2,1,2,1,3,1,4,1,3,1,5,1,5,1,6,1,6,1,5,1,2,5,5,5,6,1,4,6,2,5,3,4,6,2,5,6,4,5,3,6,5,4,4,5,6,5,2,5,4,6,6,4,2,5,5,5,6,6,5,5,6,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我几乎每天都听音乐，但每天 1~2 小时左右,男,18-25岁,初高中学生/大学生/研究生/博士,贵州省贵阳市云岩区,河南省郑州市金水区,0,0
nN6EQY3BdyW,WMRWNk67,2025/4/4 19:58,2025/4/4 20:21,1401,1,rQrY32,音乐片段感受调研问卷_见数数据库4,110.181.212.103,113.2617665,40.0531227,山西省,大同市,MOBILE,iOS,Apple WebKit,428px*926px,"U3,C3,M1,U1,M4,M5,I4,S1,S5,test1,S2,C5,U5,U2,M2,S3,I1,I5,I3,S4,C1,C2,test2,C4,M3,I2,U4",1,3,1,2,1,2,1,5,1,3,1,4,1,4,1,5,1,4,1,3,1,5,1,4,1,3,1,3,1,3,1,2,1,7,没有出现人声,1,3,1,5,1,2,1,6,1,6,1,5,1,5,1,4,1,4,1,6,1,1,5,5,4,2,1,2,5,3,4,4,2,5,2,4,3,2,5,2,4,3,2,5,5,3,2,2,4,3,5,6,2,2,6,5,4,3,5,4,4,3,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,男,35-44岁,工厂基层员工/制造业/建筑业工人,山西省大同市平城区,山西省大同市,1,0
vNzEpP8p3wW,p7Y3ooze,2025/4/4 19:59,2025/4/4 20:21,1332,1,rQrY32,音乐片段感受调研问卷_见数数据库4,1.180.123.187,118.6576715,43.5180865,内蒙古自治区,赤峰市,MOBILE,iOS,Apple WebKit,375px*667px,"C1,test1,S4,C5,I1,U3,S3,U1,M2,M4,I2,U5,test2,U4,M1,M5,M3,I5,C2,C4,I4,U2,C3,S2,S1,S5,I3",1,7,1,4,1,4,1,3,1,5,1,6,1,3,1,6,1,5,1,5,1,5,1,7,1,5,1,5,1,4,1,3,1,4,没有出现人声,1,1,1,2,1,2,1,2,1,2,1,4,1,5,1,7,1,6,1,3,1,2,4,4,4,5,1,1,5,3,4,5,4,2,3,4,2,4,3,3,5,4,4,4,3,5,3,4,4,5,3,4,3,3,3,6,5,3,4,5,5,3,一般了解：仅了解少量乐理，主要是听歌，偶尔有一些简单演奏或相关知识,我每周里有3~5天会听音乐，每次时长不限,女,55-64岁,领导干部(公司/企业/事业单位/党政机关),内蒙古赤峰市,内蒙古赤峰市,1,-1
mnmEkPPWzvp,ve8Zp8g7,2025/4/4 19:59,2025/4/4 20:21,1303,1,rQrY32,音乐片段感受调研问卷_见数数据库4,182.33.46.173,118.523898,37.841074,山东省,东营市,MOBILE,Android,Chrome,393px*873px,"I2,M4,S5,U3,C2,C1,M5,M3,U5,I3,M1,C3,I5,test2,S3,S1,C4,S2,C5,U4,test1,M2,I4,I1,S4,U1,U2",1,6,1,6,1,6,1,6,1,6,1,6,1,7,1,7,1,6,1,7,1,6,1,6,1,7,1,6,1,7,1,6,1,6,没有出现人声,1,6,1,7,1,6,1,6,1,7,1,6,1,6,1,6,1,6,1,6,1,1,6,6,6,2,1,1,6,2,5,5,2,4,1,4,4,1,5,2,5,5,2,5,6,2,5,2,5,5,6,5,2,2,5,5,5,6,5,5,6,5,较为熟悉：自学/半专业，曾经系统练习或参加乐团/乐队，对乐理或技能有一定掌握,我几乎每天都听音乐，且每天超过 2 小时,女,25-34岁,领导干部(公司/企业/事业单位/党政机关),北京市,北京市,1,0
